DateTime,AddedIPs,RemovedIPs
1555630334,39,41
1555715050,44,0
1555800978,41,36
1555889766,43,35
1555974735,37,38
1556063532,46,77
1556148975,46,0
1556235609,44,84
1556320093,46,41
1556408408,39,43
1556492888,39,0
1556579069,37,46
1556668351,39,87
1556754736,37,42
1556840170,42,0
1556924646,48,40
1557012966,40,41
1557097932,41,77
1557186109,38,37
1557270968,42,0
1557359532,44,42
1557444251,45,35
1557532571,39,87
1557617531,44,0
1557704649,43,83
1557789367,45,0
1557878169,35,84
1557962650,37,0
1558050968,37,84
1558136372,42,0
1558221371,40,43
1558309933,43,83
1558395128,46,43
1558480100,42,0
1558569368,40,81
1558653851,41,0
1558742903,35,84
1558827371,36,44
1558915935,36,43
1558999927,46,0
1559088731,47,78
1559173689,45,0
1559260100,41,75
1559344811,44,0
1559433132,45,74
1559518097,46,0
1559607135,42,89
1559692092,45,0
1559777290,46,47
1559865690,47,89
1559950327,42,44
1560039371,42,43
1560124332,43,47
1560212650,42,47
1560298342,43,44
1560383062,44,43
1560472092,43,43
1560557291,44,42
1560641766,41,0
1560730576,42,87
1560815291,38,0
1560900727,37,41
1560989290,40,89
1561074006,39,0
1561162574,34,79
1561247529,41,40
1561336101,37,37
1561420576,46,39
1561509130,43,40
1561593622,41,0
1561678566,41,39
1561767609,47,80
1561852571,44,43
1561940896,44,0
1562026336,43,91
1562111533,46,0
1562197945,48,38
1562286263,47,88
1562370970,44,0
1562460009,42,85
1562544490,46,0
1562630899,42,44
1562716856,43,89
1562806328,37,46
1562891055,45,0
1562976016,46,89
1563064567,47,0
1563149048,40,46
1563234971,46,41
1563323529,44,85
1563408251,46,0
1563496566,43,84
1563581529,40,43
1563670572,40,46
1563755293,42,45
1563843853,39,42
1563929055,45,43
1564014966,46,44
1564099929,38,0
1564188971,42,78
1564273693,35,0
1564362491,46,82
1564447449,42,0
1564531939,43,44
1564620967,40,88
1564705931,38,41
1564791128,36,0
1564880418,41,78
1564965366,43,0
1565051051,40,47
1565139618,39,77
1565224331,41,0
1565309532,45,42
1565398332,38,76
1565483291,45,0
1565568492,45,44
1565657054,41,82
1565741775,43,0
1565830819,42,79
1565916007,40,43
1566001210,41,0
1566089769,42,86
1566175211,38,45
1566260892,38,0
1566347050,42,78
1566432506,40,0
1566522498,41,81
1566608167,40,42
1566693376,41,0
1566779049,36,43
1566867848,36,76
1566953289,38,44
1567038250,39,41
1567124890,32,0
1567211289,33,45
1567300092,29,71
1567386253,34,36
1567470969,47,0
1567556407,46,33
1567646169,43,71
1567731133,47,35
1567817534,47,37
1567902973,46,0
1567988407,44,39
1568078187,41,95
1568163623,42,44
1568248810,45,0
1568334733,44,43
1568422091,43,45
1568508752,42,88
1568594410,41,41
1568681051,41,0
1568770088,42,87
1568855049,39,43
1568940486,34,45
1569026409,35,0
1569115689,36,82
1569201130,34,41
1569288011,30,43
1569374410,34,0
1569460335,35,64
1569545531,35,31
1569631455,43,28
1569720966,45,36
1569805931,40,35
1569891130,40,0
1569976812,37,35
1570066568,42,80
1570152248,43,43
1570237692,44,38
1570322773,43,0
1570412183,42,85
1570497871,42,42
1570583772,42,39
1570669693,45,0
1570755131,42,44
1570843933,46,86
1570929670,43,45
1571015056,44,0
1571100735,35,41
1571190490,38,88
1571275931,33,45
1571361633,38,46
1571446570,37,0
1571535850,26,85
1571621532,34,30
1571707449,32,34
1571793848,36,0
1571878832,37,32
1571968091,34,65
1572054251,46,35
1572139938,36,0
1572226815,40,70
1572313936,46,34
1572398899,43,43
1572484098,42,39
1572570008,42,0
1572659530,40,77
1572744731,39,0
1572830420,39,41
1572917769,43,40
1573003450,42,43
1573088657,35,43
1573177208,42,83
1573262893,42,0
1573349054,41,37
1573434255,35,39
1573523304,44,84
1573608980,38,34
1573693692,44,37
1573783467,42,44
1573868407,43,42
1573953851,40,0
1574039291,44,88
1574128810,40,40
1574214011,42,41
1574299215,42,43
1574388019,44,0
1574473933,44,81
1574558888,39,43
1574647692,37,42
1574733847,37,44
1574819289,37,43
1574904966,40,42
1574990684,32,0
1575076818,31,45
1575165847,37,67
1575251769,36,0
1575337455,37,36
1575423611,33,36
1575509534,32,39
1575594971,36,34
1575683530,35,70
1575769688,34,0
1575855139,34,40
1575940572,44,34
1576027213,36,35
1576115769,31,66
1576201217,42,38
1576286647,41,0
1576376167,35,67
1576461126,34,36
1576547047,40,44
1576632246,40,32
1576720817,44,44
1576806251,44,33
1576892406,42,41
1576981446,47,38
1577066647,41,41
1577151367,37,0
1577240653,35,89
1577325851,33,44
1577410568,30,0
1577499849,35,87
1577585293,35,0
1577671452,35,66
1577756407,38,26
1577845688,35,39
1577931369,30,34
1578016328,36,37
1578102007,34,0
1578191538,37,69
1578276485,35,36
1578361697,44,39
1578447127,37,0
1578536165,38,35
1578621372,33,67
1578706805,33,0
1578795848,42,36
1578882008,38,72
1578968167,32,40
1579053611,37,33
1579139292,48,0
1579225448,41,31
1579314966,48,71
1579399925,40,0
1579484648,45,44
1579573687,36,86
1579658169,45,0
1579746729,42,85
1579831689,46,35
1579920007,48,48
1580004970,41,39
1580089686,45,49
1580178248,40,0
1580263212,43,89
1580352004,44,42
1580436729,41,44
1580525288,42,42
1580610486,43,42
1580695211,40,42
1580784016,42,43
1580868732,39,41
1580957548,42,43
1581042246,33,46
1581126968,35,0
1581215287,33,78
1581300008,42,0
1581389051,25,78
1581474010,39,42
1581562810,38,45
1581648005,38,28
1581732966,42,31
1581821525,42,26
1581906728,41,40
1581991449,28,0
1582080248,30,66
1582165448,39,0
1582254014,37,69
1582338966,35,42
1582423931,35,0
1582512251,30,85
1582596968,34,28
