DateTime,Entries,UniqueIPs
1575563069,1814,1814
1575585142,1791,1791
1575606993,1780,1780
1575629065,1768,1768
1575651145,1749,1749
1575684324,1702,1702
1575706584,1681,1681
1575728427,1661,1661
1575750295,1637,1637
1575772385,1636,1636
1575794425,1632,1632
1575816278,1658,1658
1575838133,1456,1456
1575860189,1197,1197
1575882044,1634,1634
1575903899,1642,1642
1575926226,1626,1626
1575948275,1612,1612
1575970349,1600,1600
1575992432,1611,1611
1576014273,1614,1614
1576036354,1626,1626
1576069507,1634,1634
1576091569,1644,1644
1576113876,1648,1648
1576135941,1662,1662
1576157802,1677,1677
1576179877,1690,1690
1576201718,1695,1695
1576223769,1694,1694
1576256709,1710,1710
1576278770,1714,1714
1576300829,1714,1714
1576322680,1707,1707
1576344781,1716,1716
1576366833,1712,1712
1576388679,1720,1720
1576410746,1722,1722
1576432592,1679,1679
1576454741,1673,1673
1576476762,1669,1669
1576498812,1664,1664
1576520691,1659,1659
1576542733,1651,1651
1576564593,1644,1644
1576586686,1650,1650
1576608735,1651,1651
1576630617,1657,1657
1576652722,1676,1676
1576674786,1695,1695
1576696866,1698,1698
1576719143,1702,1702
1576741239,1731,1731
1576763296,1738,1738
1576785139,1745,1745
1576807437,1757,1757
1576829311,1762,1762
1576851400,1758,1758
1576873458,1753,1753
1576895535,1753,1753
1576917631,1754,1754
1576939719,1745,1745
1576961775,1754,1754
1576983912,1752,1752
1577005961,1756,1756
1577027808,1747,1747
1577049854,1713,1713
1577071999,1543,1543
1577094019,1729,1729
1577115897,1732,1732
1577137936,1731,1731
1577160144,1731,1731
1577182368,1735,1735
1577204427,1720,1720
1577226509,1696,1696
1577248362,1681,1681
1577270442,1634,1634
1577292518,1617,1617
1577314600,1609,1609
1577336583,1594,1594
1577358519,1582,1582
1577380570,1559,1559
1577402440,1531,1531
1577424496,1511,1511
1577446368,1501,1501
1577468449,1500,1500
1577490486,1495,1495
1577512334,1491,1491
1577534711,1491,1491
1577556999,1485,1485
1577579053,1460,1460
1577601145,1444,1444
1577623268,1434,1434
1577645312,1448,1448
1577667367,1451,1451
1577689613,1481,1481
1577711540,1511,1511
1577733392,1517,1517
1577755235,1526,1526
1577777113,1521,1521
1577799156,1539,1539
1577821254,1558,1558
1577843313,1575,1575
1577865375,1585,1585
1577898317,1604,1604
1577920370,1614,1614
1577942435,1639,1639
1577964506,1669,1669
1577986571,1687,1687
1578008419,1713,1713
1578030516,1723,1723
1578052570,1687,1687
1578085728,1705,1705
1578108027,1716,1716
1578129970,1740,1740
1578151943,1754,1754
1578174030,1768,1768
1578196092,1788,1788
1578218173,1791,1791
1578240113,1533,1533
1578262340,1250,1250
1578284433,791,791
1578306514,776,776
1578328593,784,784
1578350650,783,783
1578372495,788,788
1578394578,790,790
1578416533,792,792
1578438567,801,801
1578460573,802,802
1578482436,808,808
1578504285,820,820
1578526348,832,832
1578548189,835,835
1578570263,826,826
1578592117,818,818
1578614181,810,810
1578647162,834,834
1578669091,847,847
1578691002,858,858
1578713061,858,858
1578735149,850,850
1578756999,840,840
1578779053,833,833
1578800915,827,827
1578822980,820,820
1578844916,825,825
1578866911,824,824
1578888754,821,821
1578910812,814,814
1578932661,800,800
1578954669,800,800
1578976838,786,786
1578998687,792,792
1579020764,1122,1122
1579054523,1505,1505
1579076411,1506,1506
1579098275,1505,1505
1579120346,1499,1499
1579142410,1490,1490
1579164283,1487,1487
1579186342,1484,1484
1579208589,1480,1480
1579230525,1480,1480
1579252836,1461,1461
1579274898,1455,1455
1579296759,1442,1442
1579318837,1442,1442
1579340909,1442,1442
1579362999,1441,1441
1579384907,1696,1696
1579406901,2075,2075
1579428765,2390,2390
1579450815,2388,2388
1579472672,2383,2383
1579494764,2383,2383
1579516611,2399,2399
1579538685,2400,2400
1579560753,2404,2404
1579593926,2401,2401
1579615957,2238,2238
1579638021,1902,1902
1579659863,1676,1676
1579681951,1669,1669
1579704029,1667,1667
1579725873,1661,1661
1579747941,1657,1657
1579781143,1744,1744
1579803136,2010,2010
1579824981,2295,2295
1579847057,2362,2362
1579869143,2374,2374
1579891222,2386,2386
1579913078,2386,2386
1579935134,2389,2389
1579957497,2393,2393
1579979544,2264,2264
1580001394,1940,1940
1580023468,1427,1427
1580045538,1612,1612
1580067630,1951,1951
1580089524,2404,2404
1580111566,2399,2399
1580144681,2400,2400
1580166752,2400,2400
1580188811,2407,2407
1580210683,2406,2406
1580232524,2406,2406
1580254575,2413,2413
1580276667,2421,2421
1580298728,2414,2414
1580320570,2413,2413
1580342660,2417,2417
1580364504,2415,2415
1580386610,2409,2409
1580408655,2403,2403
1580430521,2407,2407
1580452574,2404,2404
1580474418,2393,2393
1580496338,2387,2387
1580518328,2388,2388
1580540180,2388,2388
1580573102,2355,2355
1580595391,2351,2351
1580617472,2347,2347
1580639532,2345,2345
1580661400,1876,1876
1580683461,1286,1286
1580705310,1759,1759
1580727376,1621,1621
1580749289,1489,1489
1580771308,1496,1496
1580793167,1498,1498
1580815225,1491,1491
1580837164,1501,1501
1580859145,1518,1518
1580881359,1530,1530
1580903311,1566,1566
1580925375,1588,1588
1580947292,1600,1600
1580969314,1613,1613
1580991386,1621,1621
1581013460,1632,1632
1581035530,1628,1628
1581057388,1629,1629
1581079467,1634,1634
1581101309,1636,1636
1581123175,1649,1649
1581145426,1646,1646
1581167325,1638,1638
1581189373,1635,1635
1581211215,1641,1641
1581233084,1639,1639
1581255136,1645,1645
1581276990,1543,1543
1581298843,1619,1619
1581320931,1671,1671
1581342971,1674,1674
1581364909,1673,1673
1581386896,1674,1674
1581408747,1682,1682
1581430822,1685,1685
1581452890,1693,1693
1581474758,1693,1693
1581496816,1688,1688
1581518914,1692,1692
1581540859,1692,1692
1581562931,1683,1683
1581584898,1686,1686
1581606992,1741,1741
1581629054,1839,1839
1581650899,1897,1897
1581672971,1953,1953
1581694826,1927,1927
1581716671,1978,1978
1581738524,2012,2012
1581760572,2027,2027
1581793483,2031,2031
1581815558,2038,2038
1581837405,2045,2045
1581859468,2038,2038
1581881555,2018,2018
1581903615,2029,2029
1581925468,2029,2029
1581947568,2033,2033
1581980926,2031,2031
1582002991,2030,2030
1582036094,2011,2011
1582058193,2012,2012
1582080256,2019,2019
1582102116,2019,2019
1582124185,2010,2010
1582146085,1998,1998
1582167996,1983,1983
1582189938,1961,1961
1582212054,1932,1932
1582234092,1887,1887
1582255936,1873,1873
1582277812,1820,1820
1582299869,1733,1733
1582321928,1649,1649
1582343783,1568,1568
1582365796,1501,1501
1582387702,1493,1493
1582409784,1482,1482
1582431866,1467,1467
1582453959,1468,1468
1582476012,1471,1471
1582497855,1469,1469
1582519708,1460,1460
1582541769,1460,1460
1582574689,1483,1483
1582596747,1470,1470
1582618816,1467,1467
